Date_s,Open_s,High_s,Low_s,Close_s,AdjClose_s,Volume_s,Date_m,Open_m,High_m,Low_m,Close_m,AdjClose_m,Volume_m
11/2/2020,240,240,232,238,238,17434500,11/2/2020,5108.028809,5130.686035,5073.5,5115.12793,5115.12793,97646200
11/3/2020,240,244,240,242,242,15166100,11/3/2020,5133.981934,5162.347168,5131.949219,5159.452148,5159.452148,101351100
11/4/2020,242,248,238,238,238,19000400,11/4/2020,5170.823242,5188.008789,5105.199219,5105.199219,5105.199219,103974300
11/5/2020,240,244,238,242,242,9371600,11/5/2020,5161.390137,5260.326172,5161.390137,5260.326172,5260.326172,108832000
11/6/2020,242,246,238,242,242,19757700,11/6/2020,5276.164063,5335.528809,5246.701172,5335.528809,5335.528809,104732100
11/9/2020,242,268,242,258,258,173528300,11/9/2020,5371.971191,5395.711914,5319.419922,5356.004883,5356.004883,121516500
11/10/2020,280,304,270,300,300,595315400,11/10/2020,5424.731934,5469.183105,5412.594238,5462.73877,5462.73877,149596500
11/11/2020,300,308,282,288,288,284948800,11/11/2020,5475.564941,5520.908203,5471.591797,5509.513184,5509.513184,165238700
11/12/2020,288,350,282,318,318,1096503100,11/12/2020,5494.484863,5500.416016,5449.796875,5458.602051,5458.602051,119777900
11/13/2020,320,340,318,328,328,306551000,11/13/2020,5449.101074,5466.563965,5427.631836,5461.058105,5461.058105,113428800
11/16/2020,332,340,322,322,322,104178000,11/16/2020,5500.03418,5519.679199,5462.459961,5494.87207,5494.87207,119907500
11/17/2020,322,344,322,330,330,224666700,11/17/2020,5516.580078,5562.537109,5515.519043,5529.939941,5529.939941,146811400
11/18/2020,332,396,330,392,392,795194600,11/18/2020,5530.875977,5574.728027,5530.875977,5557.518066,5557.518066,140753000
11/19/2020,390,402,378,390,390,348998900,11/19/2020,5541.421875,5598.523926,5541.313965,5594.059082,5594.059082,166665200
11/20/2020,394,416,392,394,394,480473600,11/20/2020,5602.783203,5628.441895,5563.654785,5571.655762,5571.655762,215797300
11/23/2020,396,408,394,396,396,141866900,11/23/2020,5583.330078,5652.76416,5583.330078,5652.76416,5652.76416,189943100
11/24/2020,400,404,394,396,396,139754300,11/24/2020,5677.299805,5710.380859,5667.368164,5701.028809,5701.028809,240469400
11/25/2020,400,402,382,384,384,120879600,11/25/2020,5735.13623,5770.661133,5666.76416,5679.24707,5679.24707,325423300
11/26/2020,386,390,376,382,382,70793900,11/26/2020,5669.664063,5759.916016,5669.664063,5759.916016,5759.916016,248292500
11/27/2020,382,408,382,394,394,261201600,11/27/2020,5773.555176,5795.835938,5745.884766,5783.334961,5783.334961,251434900
11/30/2020,396,402,368,378,378,139523400,11/30/2020,5779.670898,5798.291992,5563.861816,5612.415039,5612.415039,319900500
12/1/2020,382,426,382,410,410,933204900,12/1/2020,5637.894043,5736.318848,5594.277832,5724.742188,5724.742188,209477700
12/2/2020,416,434,410,416,416,417141900,12/2/2020,5755.175781,5813.986816,5734.26123,5813.986816,5813.986816,219110200
12/3/2020,416,458,416,436,436,555432400,12/3/2020,5833.323242,5853.155762,5797.013184,5822.941895,5822.941895,238397400
12/4/2020,438,444,422,436,436,160287800,12/4/2020,5820.819824,5823.324219,5775.569824,5810.48291,5810.48291,173857900
12/7/2020,450,464,444,448,448,196662700,12/7/2020,5854.303223,5941.352051,5854.303223,5930.758789,5930.758789,226790300
12/8/2020,450,460,444,446,446,193176700,12/8/2020,5947.658203,5961.778809,5911.098145,5944.40918,5944.40918,294205100
12/10/2020,446,458,446,450,450,101260600,12/10/2020,5976.999023,6004.422852,5911.914063,5933.698242,5933.698242,264587600
12/11/2020,460,470,452,454,454,163549900,12/11/2020,5946.358887,5976.568848,5924.371094,5938.329102,5938.329102,217654500
12/14/2020,458,460,444,446,446,111101500,12/14/2020,5959.274902,6013.951172,5959.274902,6012.516113,6012.516113,226876100
12/15/2020,446,456,430,440,440,241763900,12/15/2020,6013.51123,6023.214844,5965.805176,6010.12793,6010.12793,194411200
12/16/2020,448,456,444,446,446,124536000,12/16/2020,6046.866211,6123.953125,6046.866211,6118.401855,6118.401855,291042900
12/17/2020,448,452,434,440,440,102409400,12/17/2020,6133.096191,6160.977051,6075.832031,6113.381836,6113.381836,321737000
12/18/2020,440,478,438,454,454,522562300,12/18/2020,6106.250977,6142.85791,6091.397949,6104.324219,6104.324219,257981400
12/21/2020,460,478,456,462,462,270881100,12/21/2020,6131.623047,6195.153809,6119.917969,6165.624023,6165.624023,238612700
12/22/2020,464,476,440,444,444,277511600,12/22/2020,6146.645996,6174.458984,6010.210938,6023.289063,6023.289063,250085200
12/23/2020,446,456,414,434,434,140534800,12/23/2020,6061.848145,6104.35498,5853.26123,6008.708984,6008.708984,203528500
12/28/2020,434,442,420,432,432,68639600,12/28/2020,6067,6095.007813,5979.904785,6093.554199,6093.554199,180855700
12/29/2020,440,462,424,432,432,288142300,12/29/2020,6112.720215,6143.870117,6026.705078,6036.173828,6036.173828,175135000
12/30/2020,436,436,402,402,402,153624700,12/30/2020,6052.121094,6055.970215,5962.009766,5979.073242,5979.073242,170039300
1/4/2021,404,412,376,404,404,76287400,1/4/2021,5997.830078,6104.897949,5929.047852,6104.897949,6104.897949,183917000
1/5/2021,404,424,402,410,410,107440300,1/5/2021,6105.793945,6145.612793,6073.416016,6137.342773,6137.342773,174687000
1/6/2021,412,416,388,400,400,83255400,1/6/2021,6139.137207,6166.628906,5987.785156,6065.682129,6065.682129,199163800
1/7/2021,402,408,396,398,398,70964400,1/7/2021,6091.716797,6158.037109,6090.36084,6153.632813,6153.632813,227517900
1/8/2021,398,426,394,416,416,311245400,1/8/2021,6190.948242,6275.742188,6190.101074,6257.834961,6257.834961,221751300
1/11/2021,416,440,406,414,414,329856300,1/11/2021,6278.413086,6382.937012,6278.374023,6382.937012,6382.937012,297901100
1/12/2021,420,426,410,414,414,150934000,1/12/2021,6393.902832,6435.959961,6353.307129,6395.668945,6395.668945,279603400
1/13/2021,418,424,410,412,412,80917100,1/13/2021,6439.934082,6464.350098,6393.898926,6435.205078,6435.205078,343008100
1/14/2021,416,434,404,418,418,308575800,1/14/2021,6445.900879,6465.532227,6407.569824,6428.314941,6428.314941,344812000
1/15/2021,420,424,412,414,414,77400100,1/15/2021,6447.984863,6472.312012,6341.250977,6373.412109,6373.412109,262275900
1/18/2021,416,420,400,402,402,76257700,1/18/2021,6365.025879,6428.314941,6316.875,6389.833984,6389.833984,337569400
1/19/2021,404,408,386,388,388,87398100,1/19/2021,6421.86084,6434.842773,6288.978027,6321.855957,6321.855957,223716900
1/20/2021,390,396,370,388,388,77591800,1/20/2021,6334.512207,6440.796875,6299.39209,6429.757813,6429.757813,190944100
1/21/2021,388,392,378,384,384,51545500,1/21/2021,6476.094238,6504.992188,6399.666016,6413.89209,6413.89209,171080400
1/22/2021,386,386,370,370,370,49474700,1/22/2021,6419.573242,6428.49707,6283.312988,6307.126953,6307.126953,157918500
1/25/2021,372,372,348,350,350,58558300,1/25/2021,6322.519043,6322.727051,6148.307129,6258.571777,6258.571777,154806200
1/26/2021,352,360,326,326,326,78003700,1/26/2021,6252.713867,6269.665039,6123.008789,6140.170898,6140.170898,172159800
1/27/2021,324,334,308,320,320,53655500,1/27/2021,6153.078125,6154.60498,5998.898926,6109.167969,6109.167969,181402600
1/28/2021,318,320,298,298,298,60206700,1/28/2021,6065.788086,6123.460938,5957.551758,5979.387207,5979.387207,157336200
1/29/2021,298,306,280,290,290,49320700,1/29/2021,6010.342773,6068.12793,5825.291992,5862.352051,5862.352051,147664800
2/1/2021,280,314,276,312,312,78220100,2/1/2021,5856.776855,6070.734863,5735.469238,6067.544922,6067.544922,208886800
2/2/2021,320,328,312,324,324,71477400,2/2/2021,6119.01123,6157.249023,6018.094238,6043.84082,6043.84082,227307800
2/3/2021,326,336,318,326,326,37143600,2/3/2021,6096.583984,6137.681152,6047.412109,6077.745117,6077.745117,153874400
2/4/2021,328,334,314,320,320,27033200,2/4/2021,6111.757813,6179.368164,6069.549805,6107.21582,6107.21582,148241900
2/5/2021,320,324,314,322,322,15090500,2/5/2021,6136.393066,6151.729004,6090.980957,6151.729004,6151.729004,134669100
2/8/2021,322,338,322,336,336,33649600,2/8/2021,6193.550781,6224.414063,6180.731934,6208.866211,6208.866211,161586900
2/9/2021,340,360,334,342,342,101715100,2/9/2021,6232.102051,6286.291016,6157.134766,6181.671875,6181.671875,175273400
2/10/2021,360,360,336,342,342,28822100,2/10/2021,6198.032227,6216.938965,6168.013184,6201.828125,6201.828125,122608700
2/11/2021,344,346,332,338,338,32411500,2/11/2021,6221.633789,6232.850098,6194.009766,6222.520996,6222.520996,104014000
2/15/2021,338,346,336,344,344,23915600,2/15/2021,6244.384766,6283.415039,6244.384766,6270.324219,6270.324219,123956100
2/16/2021,348,348,340,340,340,14364800,2/16/2021,6291.007813,6308.811035,6274.353027,6292.395996,6292.395996,144173700
2/17/2021,338,346,326,332,332,34191400,2/17/2021,6292.970215,6314.555176,6209.314941,6227.728027,6227.728027,169907100
2/18/2021,332,334,324,326,326,23346900,2/18/2021,6230.356934,6281.35791,6200.308105,6200.308105,6200.308105,167455200
2/19/2021,324,326,316,324,324,12050300,2/19/2021,6196.898926,6231.932129,6173.594238,6231.932129,6231.932129,133625600
2/22/2021,324,330,322,324,324,9297900,2/22/2021,6267.024902,6312.873047,6255.312012,6255.312012,6255.312012,145005700
